Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Faixa Etária;Admitidos;Desligados;Total
Sp-Aparecida;Total;3981;3836;7817
;Até 17;103;70;173
;18 a 24;1171;986;2157
;25 a 29;724;668;1392
;30 a 39;1052;1102;2154
;40 a 49;603;611;1214
;50 a 64;311;373;684
;65 ou mais;17;26;43
Sp-Bananal;Total;378;383;761
;18 a 24;89;62;151
;25 a 29;60;71;131
;30 a 39;115;116;231
;40 a 49;74;84;158
;50 a 64;39;44;83
;65 ou mais;1;6;7
Sp-Cachoeira Paulista;Total;1154;1332;2486
;Até 17;57;28;85
;18 a 24;294;255;549
;25 a 29;218;248;466
;30 a 39;322;360;682
;40 a 49;190;217;407
;50 a 64;70;188;258
;65 ou mais;3;36;39
Sp-Caraguatatuba;Total;9949;8895;18844
;Até 17;257;113;370
;18 a 24;3250;2511;5761
;25 a 29;1769;1730;3499
;30 a 39;2688;2465;5153
;40 a 49;1433;1367;2800
;50 a 64;535;653;1188
;65 ou mais;17;56;73
Sp-Cruzeiro;Total;3587;3517;7104
;Até 17;108;47;155
;18 a 24;1176;851;2027
;25 a 29;643;569;1212
;30 a 39;960;1008;1968
;40 a 49;484;597;1081
;50 a 64;211;407;618
;65 ou mais;5;38;43
Sp-Guaratingueta;Total;10293;9844;20137
;Até 17;349;240;589
;18 a 24;2781;2121;4902
;25 a 29;1886;1740;3626
;30 a 39;2993;2879;5872
;40 a 49;1584;1702;3286
;50 a 64;672;1031;1703
;65 ou mais;28;131;159
Sp-Jacarei;Total;15157;15411;30568
;Até 17;384;234;618
;18 a 24;3963;3277;7240
;25 a 29;2586;2516;5102
;30 a 39;4420;4759;9179
;40 a 49;2622;2942;5564
;50 a 64;1143;1574;2717
;65 ou mais;39;109;148
Sp-Lorena;Total;4967;4849;9816
;Até 17;58;24;82
;18 a 24;1429;1082;2511
;25 a 29;969;899;1868
;30 a 39;1392;1524;2916
;40 a 49;763;803;1566
;50 a 64;338;476;814
;65 ou mais;18;41;59
Sp-Natividade da Serra;Total;79;90;169
;Até 17;1;1;2
;18 a 24;24;18;42
;25 a 29;10;14;24
;30 a 39;24;30;54
;40 a 49;15;17;32
;50 a 64;5;8;13
;65 ou mais;0;2;2
Sp-Pindamonhangaba;Total;10390;9413;19803
;Até 17;116;64;180
;18 a 24;2738;1915;4653
;25 a 29;1890;1561;3451
;30 a 39;3138;2972;6110
;40 a 49;1731;1782;3513
;50 a 64;736;1024;1760
;65 ou mais;41;95;136
