Ano Declarado = 2019
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
Sp-Aparecida;Total;3981;3836;7817
;Analfabeto;8;8;16
;Até 5ª Incompleto;59;62;121
;5ª Completo Fundamental;39;44;83
;6ª a 9ª Fundamental;141;147;288
;Fundamental Completo;636;568;1204
;Médio Incompleto;305;318;623
;Médio Completo;2311;2301;4612
;Superior Incompleto;89;92;181
;Superior Completo;393;296;689
Sp-Bananal;Total;378;383;761
;Analfabeto;1;2;3
;Até 5ª Incompleto;19;19;38
;5ª Completo Fundamental;20;25;45
;6ª a 9ª Fundamental;30;29;59
;Fundamental Completo;114;78;192
;Médio Incompleto;24;19;43
;Médio Completo;156;194;350
;Superior Incompleto;1;5;6
;Superior Completo;13;12;25
Sp-Cachoeira Paulista;Total;1154;1332;2486
;Analfabeto;0;3;3
;Até 5ª Incompleto;27;40;67
;5ª Completo Fundamental;27;33;60
;6ª a 9ª Fundamental;51;52;103
;Fundamental Completo;54;75;129
;Médio Incompleto;67;84;151
;Médio Completo;717;767;1484
;Superior Incompleto;31;36;67
;Superior Completo;180;242;422
Sp-Caraguatatuba;Total;9949;8895;18844
;Analfabeto;12;10;22
;Até 5ª Incompleto;124;132;256
;5ª Completo Fundamental;52;65;117
;6ª a 9ª Fundamental;197;241;438
;Fundamental Completo;527;510;1037
;Médio Incompleto;639;589;1228
;Médio Completo;7459;6511;13970
;Superior Incompleto;290;252;542
;Superior Completo;649;585;1234
Sp-Cruzeiro;Total;3587;3517;7104
;Analfabeto;2;2;4
;Até 5ª Incompleto;16;25;41
;5ª Completo Fundamental;26;23;49
;6ª a 9ª Fundamental;43;58;101
;Fundamental Completo;104;187;291
;Médio Incompleto;200;198;398
;Médio Completo;2574;2461;5035
;Superior Incompleto;150;153;303
;Superior Completo;472;410;882
Sp-Guaratingueta;Total;10293;9844;20137
;Analfabeto;11;15;26
;Até 5ª Incompleto;234;224;458
;5ª Completo Fundamental;128;149;277
;6ª a 9ª Fundamental;284;337;621
;Fundamental Completo;665;988;1653
;Médio Incompleto;841;770;1611
;Médio Completo;6470;5766;12236
;Superior Incompleto;264;260;524
;Superior Completo;1396;1335;2731
Sp-Jacarei;Total;15157;15411;30568
;Analfabeto;30;24;54
;Até 5ª Incompleto;139;157;296
;5ª Completo Fundamental;83;105;188
;6ª a 9ª Fundamental;420;492;912
;Fundamental Completo;748;853;1601
;Médio Incompleto;900;934;1834
;Médio Completo;10363;10313;20676
;Superior Incompleto;586;561;1147
;Superior Completo;1888;1972;3860
Sp-Lorena;Total;4967;4849;9816
;Analfabeto;9;7;16
;Até 5ª Incompleto;62;62;124
;5ª Completo Fundamental;45;53;98
;6ª a 9ª Fundamental;99;121;220
;Fundamental Completo;226;250;476
;Médio Incompleto;232;247;479
;Médio Completo;3413;3241;6654
;Superior Incompleto;151;144;295
;Superior Completo;730;724;1454
Sp-Natividade da Serra;Total;79;90;169
;Analfabeto;1;1;2
;Até 5ª Incompleto;3;10;13
;5ª Completo Fundamental;2;6;8
;6ª a 9ª Fundamental;4;2;6
;Fundamental Completo;11;14;25
;Médio Incompleto;2;2;4
;Médio Completo;55;50;105
;Superior Completo;1;5;6
Sp-Pindamonhangaba;Total;10390;9413;19803
;Analfabeto;13;7;20
;Até 5ª Incompleto;87;104;191
;5ª Completo Fundamental;83;87;170
;6ª a 9ª Fundamental;258;234;492
;Fundamental Completo;633;564;1197
;Médio Incompleto;546;535;1081
;Médio Completo;7078;6413;13491
;Superior Incompleto;334;321;655
;Superior Completo;1358;1148;2506
Sp-Santa Branca;Total;1235;1063;2298
;Analfabeto;6;5;11
;Até 5ª Incompleto;25;15;40
;5ª Completo Fundamental;6;12;18
;6ª a 9ª Fundamental;43;30;73
;Fundamental Completo;73;75;148
;Médio Incompleto;66;62;128
;Médio Completo;838;732;1570
;Superior Incompleto;30;25;55
;Superior Completo;148;107;255
Sp-Santo Antonio do Pinhal;Total;302;301;603
;Até 5ª Incompleto;2;3;5
;5ª Completo Fundamental;0;3;3
;6ª a 9ª Fundamental;3;6;9
;Fundamental Completo;15;17;32
;Médio Incompleto;20;34;54
;Médio Completo;235;219;454
;Superior Incompleto;10;8;18
;Superior Completo;17;11;28
Sp-Sao Jose dos Campos;Total;65829;66302;132131
;Analfabeto;137;100;237
;Até 5ª Incompleto;522;607;1129
;5ª Completo Fundamental;392;435;827
;6ª a 9ª Fundamental;1262;1436;2698
;Fundamental Completo;3256;3669;6925
;Médio Incompleto;3658;3857;7515
;Médio Completo;44483;44048;88531
;Superior Incompleto;3216;3113;6329
;Superior Completo;8903;9037;17940
Sp-Sao Luis do Paraitinga;Total;495;450;945
;Analfabeto;1;1;2
;Até 5ª Incompleto;31;20;51
;5ª Completo Fundamental;20;20;40
;6ª a 9ª Fundamental;28;17;45
;Fundamental Completo;29;38;67
;Médio Incompleto;40;26;66
;Médio Completo;295;264;559
;Superior Incompleto;13;14;27
;Superior Completo;38;50;88
Sp-Taubate;Total;29280;28710;57990
;Analfabeto;47;34;81
;Até 5ª Incompleto;331;253;584
;5ª Completo Fundamental;349;330;679
;6ª a 9ª Fundamental;1465;1132;2597
;Fundamental Completo;2461;2685;5146
;Médio Incompleto;1821;1740;3561
;Médio Completo;18644;18008;36652
;Superior Incompleto;1039;1047;2086
;Superior Completo;3123;3481;6604
Total;Total;157076;154396;311472
;Analfabeto;278;219;497
;Até 5ª Incompleto;1681;1733;3414
;5ª Completo Fundamental;1272;1390;2662
;6ª a 9ª Fundamental;4328;4334;8662
;Fundamental Completo;9552;10571;20123
;Médio Incompleto;9361;9415;18776
;Médio Completo;105091;101288;206379
;Superior Incompleto;6204;6031;12235
;Superior Completo;19309;19415;38724
Ano Declarado = 2018
Coluna;;Admitidos/Desligados
Município;Grau Instrução;Admitidos;Desligados;Total
Sp-Aparecida;Total;3536;3616;7152
;Analfabeto;7;1;8
;Até 5ª Incompleto;69;62;131
