Ano Declarado = 2019;;;
Coluna;Admitidos/Desligados;;
Município;Admitidos;Desligados;Total
Sp-Aparecida;3981;3836;7817
Sp-Bananal;378;383;761
Sp-Cachoeira Paulista;1154;1332;2486
Sp-Caraguatatuba;9949;8895;18844
Sp-Cruzeiro;3587;3517;7104
Sp-Guaratingueta;10293;9844;20137
Sp-Jacarei;15157;15411;30568
Sp-Lorena;4967;4849;9816
Sp-Natividade da Serra;79;90;169
Sp-Pindamonhangaba;10390;9413;19803
Sp-Santa Branca;1235;1063;2298
Sp-Santo Antonio do Pinhal;302;301;603
Sp-Sao Jose dos Campos;65829;66302;132131
Sp-Sao Luis do Paraitinga;495;450;945
Sp-Taubate;29280;28710;57990
Total;157076;154396;311472
Ano Declarado = 2018;;;
Coluna;Admitidos/Desligados;;
Município;Admitidos;Desligados;Total
Sp-Aparecida;3536;3616;7152
Sp-Bananal;380;389;769
Sp-Cachoeira Paulista;1266;1301;2567
Sp-Caraguatatuba;8384;8470;16854
Sp-Cruzeiro;4037;3344;7381
Sp-Guaratingueta;8954;8558;17512
Sp-Jacarei;16174;15219;31393
Sp-Lorena;5133;4655;9788
Sp-Natividade da Serra;95;102;197
Sp-Pindamonhangaba;9588;9106;18694
Sp-Santa Branca;441;490;931
Sp-Santo Antonio do Pinhal;278;253;531
Sp-Sao Jose dos Campos;64501;64196;128697
Sp-Sao Luis do Paraitinga;496;699;1195
Sp-Taubate;26550;26579;53129
Total;149813;146977;296790
Ano Declarado = Total;;;
Coluna;Admitidos/Desligados;;
Município;Admitidos;Desligados;Total
Sp-Aparecida;7517;7452;14969
Sp-Bananal;758;772;1530
Sp-Cachoeira Paulista;2420;2633;5053
Sp-Caraguatatuba;18333;17365;35698
Sp-Cruzeiro;7624;6861;14485
Sp-Guaratingueta;19247;18402;37649
Sp-Jacarei;31331;30630;61961
Sp-Lorena;10100;9504;19604
Sp-Natividade da Serra;174;192;366
Sp-Pindamonhangaba;19978;18519;38497
Sp-Santa Branca;1676;1553;3229
Sp-Santo Antonio do Pinhal;580;554;1134
Sp-Sao Jose dos Campos;130330;130498;260828
Sp-Sao Luis do Paraitinga;991;1149;2140
Sp-Taubate;55830;55289;111119
Total;306889;301373;608262
;;;
Seleções vigentes;;;
Variável;Critério;Valor;
Competência Declarada;igual a;dez/19;
;;nov/19;
;;out/19;
;;set/19;
;;ago/19;
;;jul/19;
;;jun/19;
;;mai/19;
;;abr/19;
;;mar/19;
;;fev/19;
;;jan/19;
;;dez/18;
;;nov/18;
;;out/18;
;;set/18;
;;ago/18;
;;jul/18;
;;jun/18;
;;mai/18;
;;abr/18;
;;mar/18;
;;fev/18;
;;jan/18;
Município;igual a;Sp-Sao Jose dos Campos;
;;Sp-Taubate;
;;Sp-Jacarei;
;;Sp-Caraguatatuba;
;;Sp-Pindamonhangaba;
;;Sp-Lorena;
;;Sp-Bananal;
;;Sp-Cruzeiro;
;;Sp-Guaratingueta;
;;Sp-Aparecida;
;;Sp-Cachoeira Paulista;
;;Sp-Santa Branca;
;;Sp-Sao Luis do Paraitinga;
;;Sp-Santo Antonio do Pinhal;
;;Sp-Natividade da Serra;
